id,original_text,reference_simple,simplified_text,SARI,FKGL_Original,FKGL_Simplified,SimplicityGain,SemanticSimilarity,HallucinationRate
86,The process ensures data confidentiality.,The process keeps data private.,The process ensures data confidentiality. The process ensures that the data is protected. The data is then sent to a server in the U.S. where it is stored for a period of time. It is then shared with a third party for processing and storage of the data. The information is then made available to the public.,9.444444444444445,19.400000000000002,6.125526315789475,13.274473684210527,0.7851507663726807,1.0
87,The user experienced difficulty comprehending instructions.,The user had trouble understanding instructions.,The user experienced difficulty comprehending instructions. The user experienced difficulties comprehending the instructions on how to use the app. The app has been removed from the Google Play Store. It has been replaced with a new version of the app with a different version with different instructions and features.,10.227272727272728,22.15000000000001,9.416071428571428,12.733928571428581,0.6372495293617249,1.0
88,The system architecture supports scalability.,The system can grow easily.,The system architecture supports scalability. The system architecture is designed to be able to handle large numbers of users at once. The architecture is intended to be flexible and flexible enough to support multiple users at the same time. It has been designed to allow for scalability in a number of different ways.,8.333333333333334,19.400000000000002,10.505801886792455,8.894198113207548,0.8573176264762878,0.0
89,The experiment confirmed the initial hypothesis.,The experiment proved the first idea.,"The experiment confirmed the initial hypothesis. The experiment was carried out at the University of California, Los Angeles. The results of the experiment were published in the Journal of Experimental Social Psychology. The study was the first of its kind to be published in a journal. It was published by the journal in the form of a book, ""Experiment on Social Psychology: Theories and Realities""",9.14057159945318,16.25,10.720000000000002,5.529999999999998,0.5692074298858643,1.0
91,The report provides actionable insights.,The report gives useful ideas.,"The report provides actionable insights. The report also provides insights on how to use these insights to improve the lives of your family and friends. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details.",8.333333333333334,12.320000000000004,8.390652173913043,3.9293478260869605,0.5602960586547852,1.0
92,The interface reduces cognitive strain.,The interface makes thinking easier.,The interface reduces cognitive strain. The interface reduces Cognitive Strain. The Interface reduces Cognitive Stress. The Interfaces reduce Cognitive Stress. The interfaces reduce cognitive strain and help people cope with stress. The interfaces help people deal with stress and help them cope with the world.,8.333333333333334,12.320000000000004,8.312777777777779,4.007222222222225,0.7852814793586731,1.0
93,The feature improves accessibility for disabled users.,The feature helps disabled users.,"The feature improves accessibility for disabled users. The feature is available to all users on the Google Play Store. It is available for Android and iOS devices for the first time in the U.S. and Canada. For more information on the feature, visit Google Play’s website.",13.79120879120879,15.797142857142859,8.390652173913043,7.406490683229816,0.7687145471572876,1.0
94,The training session enhanced learner engagement.,The training kept learners interested.,"The training session enhanced learner engagement. The session was held at a local high school in the town of Waltham, Massachusetts. The training session was led by a group of high school students. It was held in the school’s gymnasium, which has a capacity of 1,000.",7.3809523809523805,10.350000000000001,6.08195652173913,4.268043478260871,0.7930779457092285,1.0
95,The process simplifies complex workflows.,The process makes work simpler.,The process simplifies complex workflows. The process was developed by a group of software developers in the U.S. It was designed to make it easier for people to work on complex projects. The company says the process was created to help people with complex work flows.,8.88888888888889,9.96,7.108043478260871,2.8519565217391296,0.8225269913673401,1.0
96,The device enhances operational efficiency.,The device improves efficiency.,"The device enhances operational efficiency. The device was developed by a company based in New York City. It was designed to help the U.S. military in the fight against terrorism. It has been used in Iraq, Afghanistan and other countries in the Middle East. It is now being used in the United States as well.",11.428571428571429,21.76000000000001,7.079545454545453,14.680454545454555,0.7023593187332153,1.0
97,The analysis exposed usability issues.,The analysis found usability problems.,The analysis exposed usability issues. The analysis exposed issues with the use of the mobile phone's GPS system. The mobile phone was used to track the location of the user's mobile device. The phone was also used to send text messages and make phone calls. The device was used for the majority of the phone's functions.,9.444444444444445,17.040000000000003,6.688714285714283,10.35128571428572,0.7612341642379761,0.0
98,The content was optimized for readability.,The content was made easier to read.,"The content of this page has been optimized for readability. For more information, visit CNN.com/Heroes and follow us on Twitter @CNNHeroes. For confidential support, call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details.",22.46031746031746,12.316666666666666,7.914571428571428,4.402095238095239,0.17406639456748962,1.0
99,The solution supports inclusive design principles.,The solution supports inclusive design.,"The solution supports inclusive design principles. The solution is based on the idea that all people should be able to participate in the design process in some way. The design process is intended to be inclusive and non-discriminatory. For more information on the solution, visit the solution's official website.",26.16452991452991,14.283333333333335,11.101785714285715,3.1815476190476204,0.8840081691741943,0.0
100,The system improves accessibility compliance.,The system helps meet accessibility rules.,The system improves accessibility compliance. The system is designed to make it easier for people with disabilities to get around. It is available to people in the U.S. and around the world for the first time. It will be rolled out across the world by the end of the year.,9.444444444444445,19.400000000000002,6.010000000000002,13.39,0.8189918994903564,1.0
